230,3,3,5,3,3790000,1
85,2,1,2,1,1390000,1
136,3,1,3,1,1590000,1
136,3,1,4,1,1500000,1
310,3,1,4,2,4150000,1
122,3,1,3,1,1700000,1
252,4,1,4,2,1350000,1
136,3,1,1,2,1800000,1
130,3,1,4,2,1400000,1
130,3,1,4,2,1350000,1
186,3,0,2,1,1900000,1
90,2,1,1,0,1200000,1
82,2,1,3,1,1190000,1
220,3,1,3,1,1950000,1
125,3,1,4,1,1500000,1
136,3,1,3,1,1500000,1
117,2,2,4,1,1900000,1
160,3,0,3,2,2.00E+06,1
96,3,0,3,1,850000,1
71,2,1,2,3,1220461,1
70,2,2,3,1,1200000,1
70,2,2,3,2,8.00E+05,1
200,3,1,4,2,2700000,1
420,3,1,5,4,1.20E+07,1
110,3,2,2,1,1350000,1
100,3,1,3,1,980000,1
222,4,2,1,2,2800000,1
258,4,1,4,2,1600000,1
142,3,1,3,2,1700000,1
125,3,1,4,1,1570000,1
173,3,0,3,1,1950000,1
228,3,1,1,1,2190000,1
162,2,2,3,2,1600000,1
124,3,1,3,2,1380000,1
129,3,0,3,1,1200000,1
195,2,2,2,2,5161001,1
29,1,1,1,1,4.00E+05,1
365,4,2,6,2,6650000,1
183,3,1,4,3,2500000,1
80,1,1,2,1,990000,1
70,2,1,2,1,1027000,1
173,3,1,3,2,1750000,1
140,3,1,3,1,1386000,1
274,3,1,5,2,4400000,1
240,4,3,4,4,2400000,1
151,3,1,3,3,2600000,1
230,4,4,6,4,4700000,1
135,2,1,3,2,1700000,1
76,2,0,2,1,7.00E+05,1
123,2,2,4,1,1750000,1
188,3,1,3,2,2600000,1
231,4,1,5,2,3700000,1
207,3,1,4,2,2200000,1
152,3,1,4,1,1600000,1
291,3,3,5,3,4400000,1
310,4,4,6,4,4500000,1
190,3,1,1,2,1850000,1
753,5,5,7,8,29800000,1
202,3,1,1,1,1800000,1
230,3,3,5,2,2700000,1
230,3,3,4,3,3790000,1
96,2,1,2,1,1350000,1
116,3,1,4,1,1.00E+06,1
149,3,1,3,1,1590000,1
200,3,0,3,0,8.00E+05,1
120,3,1,2,1,1190000,1
118,3,0,0,1,1400000,1
120,3,1,4,1,1400000,1
220,3,1,4,2,2400000,1
220,3,1,1,1,2300000,1
152,2,1,4,1,2200000,1
250,2,1,4,2,3200000,1
144,3,1,3,1,1915000,1
188,4,4,1,4,3390000,1
170,3,1,3,1,1670000,1
238,3,1,3,1,3980000,1
360,3,3,5,5,8500000,1
204,3,1,1,1,2300000,1
203,3,3,5,2,3140000,1
360,4,2,5,3,4800000,1
218,3,3,5,2,2980000,1
220,3,1,3,1,1950000,1
146,3,1,3,1,1280000,1
210,4,3,4,4,3900000,1
